OBJECTID,NUMERO_MUE,TIPO_MUEST,SYMBOL,Ag_ppm,Al_porcien,As_ppm,Au_ppb,Ba_ppm,Be_ppm,Bi_ppm,Br_ppm,Ca_porcien,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Eu_ppm,Fe_porcien,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,Ir_ppb,K_porcient,La_ppm,Li_ppm,Lu_ppm,Mg_porcien,Mn_ppm,Mo_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,S_porcient,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_porcien,TI_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,FRACCION,Na_porcien,REFERENCIA,METODO,Sr_ppm,latDD,lonDD,rng unidad,rng unid_1
"1586",VA438,"85001",,-0.20000,6.72000,3.10000,13.00000,448.00000,2.00000,13.00000,-0.50000,2.24000,-0.50000,41.00000,0.00000,59.00000,-1.00000,16.90000,1.20000,4.83000,0.00000,0.00000,4.00000,1.00000,0.00000,-5.00000,2.41000,30.90000,0.00000,0.52000,0.85000,675.00000,5.00000,0.00000,56.00000,12.00000,750.00000,26.00000,93.00000,0.00000,1.10000,7.30000,-3.00000,7.10000,-10.00000,1.20000,0.70000,0.00000,20.30000,0.43000,0.00000,1.50000,157.00000,0.00000,24.60000,1.40000,83.80000,0.00000,"85051",2.527,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",468.00000,-40.673075827999988,-66.610275555999976,"1",Basamento ígneo-metamórfico (C bim F)
"1597",VA451,"85001",,-0.20000,7.20000,6.80000,3.00000,650.00000,3.00000,11.00000,0.90000,2.15000,-0.50000,41.00000,0.00000,56.00000,10.00000,24.70000,1.20000,4.26000,0.00000,0.00000,4.00000,3.00000,0.00000,20.00000,2.73000,36.60000,0.00000,0.43000,1.13000,766.00000,10.00000,0.00000,-5.00000,20.00000,700.00000,26.00000,123.00000,0.00000,0.80000,10.20000,3.00000,7.50000,-10.00000,0.70000,0.80000,0.00000,9.60000,0.41000,0.00000,2.80000,169.00000,0.00000,20.90000,1.40000,83.90000,0.00000,"85051",1.366,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",172.00000,-40.632771598999966,-66.574898673999940,"1",Basamento ígneo-metamórfico (C bim F)
"1599",VA453,"85001",,-0.20000,6.82000,5.20000,6.00000,488.00000,2.00000,8.00000,-0.50000,1.06000,1.00000,31.00000,0.00000,48.00000,8.00000,15.00000,1.10000,2.18000,0.00000,0.00000,4.00000,-1.00000,0.00000,15.00000,2.83000,30.80000,0.00000,0.30000,0.85000,520.00000,5.00000,0.00000,27.00000,16.00000,500.00000,22.00000,84.00000,0.00000,1.00000,8.50000,-3.00000,6.10000,-10.00000,0.90000,0.70000,0.00000,11.20000,0.34000,0.00000,3.00000,131.00000,0.00000,19.70000,1.30000,80.90000,0.00000,"85051",1.488,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",183.00000,-40.597744970999941,-66.529163873999948,"1",Basamento ígneo-metamórfico (C bim F)
"1600",VA455,"85001",,0.80000,5.88000,3.00000,4.00000,715.00000,2.00000,8.00000,3.10000,1.50000,-0.50000,29.00000,0.00000,28.00000,5.00000,9.10000,-0.20000,1.60000,0.00000,0.00000,3.00000,2.00000,0.00000,6.00000,2.61000,24.60000,0.00000,0.39000,0.45000,248.00000,3.00000,0.00000,49.00000,5.00000,400.00000,16.00000,79.00000,0.00000,0.70000,4.00000,-3.00000,4.20000,-10.00000,0.50000,-0.50000,0.00000,14.80000,0.18000,0.00000,2.50000,51.00000,0.00000,12.80000,0.50000,37.10000,0.00000,"85051",2.445,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",324.00000,-40.594219336999970,-66.568071266999937,"1",Basamento ígneo-metamórfico (C bim F)
"1601",VA456,"85001",,-0.20000,5.78000,3.40000,4.00000,368.00000,2.00000,-5.00000,1.90000,1.10000,0.70000,32.00000,0.00000,18.00000,5.00000,9.60000,-0.20000,1.53000,0.00000,0.00000,3.00000,1.00000,0.00000,-5.00000,2.74000,27.10000,0.00000,-0.05000,0.37000,205.00000,3.00000,0.00000,63.00000,5.00000,350.00000,16.00000,97.00000,0.00000,0.30000,3.80000,-3.00000,4.20000,-10.00000,-0.50000,0.70000,0.00000,12.90000,0.17000,0.00000,5.20000,56.00000,0.00000,13.50000,0.90000,32.40000,0.00000,"85051",2.256,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",271.00000,-40.666997617999982,-66.623748712999941,"1",Basamento ígneo-metamórfico (C bim F)
"1602",VA457,"85001",,-0.20000,6.45000,6.30000,4.00000,534.00000,2.00000,10.00000,-0.50000,2.44000,0.50000,34.00000,0.00000,27.00000,6.00000,16.30000,-0.20000,3.54000,0.00000,0.00000,3.00000,2.00000,0.00000,9.00000,2.62000,29.60000,0.00000,0.37000,0.65000,468.00000,4.00000,0.00000,29.00000,6.00000,500.00000,23.00000,53.00000,0.00000,0.50000,6.20000,-3.00000,5.50000,-10.00000,-0.50000,-0.50000,0.00000,13.20000,0.36000,0.00000,2.20000,143.00000,0.00000,19.00000,0.90000,63.70000,0.00000,"85051",2.069,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",337.00000,-40.669223866999971,-66.623367369999983,"1",Basamento ígneo-metamórfico (C bim F)
"1604",VA459,"85001",,-0.20000,5.80000,5.40000,8.00000,604.00000,2.00000,9.00000,0.70000,1.32000,0.50000,44.00000,0.00000,35.00000,6.00000,12.80000,1.20000,4.29000,0.00000,0.00000,5.00000,1.00000,0.00000,-5.00000,2.93000,-0.05000,0.00000,0.33000,0.44000,425.00000,4.00000,0.00000,31.00000,5.00000,400.00000,27.00000,107.00000,0.00000,1.40000,4.80000,3.00000,4.40000,-10.00000,1.30000,0.80000,0.00000,10.80000,0.31000,0.00000,-0.50000,145.00000,0.00000,17.60000,1.30000,64.30000,0.00000,"85051",2.013,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",215.00000,-40.592154514999947,-66.598908006999977,"1",Basamento ígneo-metamórfico (C bim F)
"1606",VA462,"85001",,-0.20000,6.23000,8.50000,2.00000,300.00000,2.00000,16.00000,1.40000,1.56000,-0.50000,33.00000,0.00000,67.00000,7.00000,19.40000,-0.20000,-0.01000,0.00000,0.00000,4.00000,1.00000,0.00000,6.00000,2.52000,27.80000,0.00000,-0.05000,0.93000,556.00000,5.00000,0.00000,35.00000,15.00000,500.00000,17.00000,81.00000,0.00000,1.40000,8.50000,-3.00000,5.30000,-10.00000,-0.50000,-0.50000,0.00000,9.40000,0.42000,0.00000,2.70000,153.00000,0.00000,18.60000,1.40000,69.20000,0.00000,"85051",1.445,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",176.00000,-40.708469726999965,-66.609308756999951,"1",Basamento ígneo-metamórfico (C bim F)
"1607",VA463,"85001",,-0.20000,6.25000,4.60000,8.00000,563.00000,2.00000,11.00000,0.90000,2.48000,-0.50000,32.00000,0.00000,38.00000,3.00000,27.20000,-0.20000,-0.01000,0.00000,0.00000,3.00000,-1.00000,0.00000,-5.00000,2.50000,28.90000,0.00000,0.32000,0.88000,533.00000,4.00000,0.00000,42.00000,13.00000,500.00000,19.00000,71.00000,0.00000,1.00000,7.50000,-3.00000,2.80000,-10.00000,-0.50000,0.60000,0.00000,11.00000,0.34000,0.00000,2.60000,118.00000,0.00000,18.30000,1.30000,59.60000,0.00000,"85051",1.444,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",185.00000,-40.710632045999944,-66.625918877999936,"1",Basamento ígneo-metamórfico (C bim F)
"1608",VA465,"85001",,-0.20000,4.92000,6.10000,7.00000,652.00000,1.00000,19.00000,-0.50000,1.19000,1.00000,34.00000,0.00000,85.00000,4.00000,14.40000,-0.20000,-0.01000,0.00000,0.00000,3.00000,2.00000,0.00000,-5.00000,2.21000,20.80000,0.00000,0.41000,0.54000,698.00000,5.00000,0.00000,33.00000,7.00000,400.00000,38.00000,87.00000,0.00000,1.70000,5.90000,-3.00000,2.40000,-10.00000,-0.50000,1.00000,0.00000,17.50000,0.47000,0.00000,3.00000,264.00000,0.00000,17.30000,1.20000,105.00000,0.00000,"85051",1.473,"Contribución Técnica N° 10. Datos geoquímicos multielemento y ubicación de sitios de muestreo de sedimentos de corriente y suelo, Plan Patagonia Comahue Geológico Minero y CGRA, Hoja 4166-I Valcheta, Provincia de Río Negro, República Argentina. 1","85104",212.00000,-40.574343319999969,-66.553661042999977,"1",Basamento ígneo-metamórfico (C bim F)
